2022-02-09 15:52:47,103 INFO       server.py              Клиент ('127.0.0.1', 50523) отключился от сервера.
2022-02-09 15:52:54,039 DEBUG      server.py              Сервер с адресом  и портом 7777 запущен.
2022-02-09 15:52:54,216 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50558)
2022-02-09 15:52:54,216 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50559)
2022-02-09 15:52:54,216 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:54,216 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:54,216 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50558)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:54,216 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50560)
2022-02-09 15:52:54,216 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:54,216 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:54,216 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50559)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:54,216 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50561)
2022-02-09 15:52:54,216 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:54,216 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:54,216 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50560)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:54,216 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50562)
2022-02-09 15:52:54,216 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:54,216 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:54,216 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50561)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:54,306 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50563)
2022-02-09 15:52:54,306 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:54,306 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:54,306 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403974.2162554, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50562)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:54,322 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50564)
2022-02-09 15:52:54,322 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403974.3064134, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:54,322 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403974.3064134, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:54,322 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403974.3064134, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50563)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:54,822 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403974.3220353, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:54,822 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403974.3220353, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:54,822 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403974.3220353, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50564)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:55,830 INFO       server.py              Клиент ('127.0.0.1', 50564) отключился от сервера.
2022-02-09 15:52:57,352 INFO       server.py              Клиент ('127.0.0.1', 50559) отключился от сервера.
2022-02-09 15:53:00,392 INFO       server.py              Клиент ('127.0.0.1', 50562) отключился от сервера.
2022-02-09 15:53:01,399 INFO       server.py              Клиент ('127.0.0.1', 50558) отключился от сервера.
2022-02-09 15:53:02,421 INFO       server.py              Клиент ('127.0.0.1', 50561) отключился от сервера.
2022-02-09 15:53:04,475 INFO       server.py              Клиент ('127.0.0.1', 50560) отключился от сервера.
2022-02-09 15:53:50,143 DEBUG      server.py              Сервер с адресом  и портом 7777 запущен.
2022-02-09 15:53:50,201 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50620)
2022-02-09 15:53:50,280 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50621)
2022-02-09 15:53:50,280 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404030.2019477, 'user': {'account_name': 'ME'}}
2022-02-09 15:53:50,280 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404030.2019477, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:53:50,280 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404030.2019477, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50620)>), {}).Вызов произведён из функции main()
2022-02-09 15:53:50,435 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50622)
2022-02-09 15:53:50,435 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404030.2800725, 'user': {'account_name': 'ME'}}
2022-02-09 15:53:50,435 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404030.2800725, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:53:50,435 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404030.2800725, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=316, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50621)>), {}).Вызов произведён из функции main()
2022-02-09 15:53:50,435 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50623)
2022-02-09 15:53:50,451 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404030.4355361, 'user': {'account_name': 'ME'}}
2022-02-09 15:53:50,451 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404030.4355361, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:53:50,451 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404030.4355361, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50622)>), {}).Вызов произведён из функции main()
2022-02-09 15:53:50,451 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50624)
2022-02-09 15:53:50,451 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404030.4511518, 'user': {'account_name': 'ME'}}
2022-02-09 15:53:50,451 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404030.4511518, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:53:50,451 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404030.4511518, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=460, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50624)>), {}).Вызов произведён из функции main()
2022-02-09 15:53:50,513 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50625)
2022-02-09 15:53:50,513 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404030.4355361, 'user': {'account_name': 'ME'}}
2022-02-09 15:53:50,513 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404030.4355361, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:53:50,513 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404030.4355361, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50623)>), {}).Вызов произведён из функции main()
2022-02-09 15:53:50,513 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50626)
2022-02-09 15:53:50,513 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404030.5136516, 'user': {'account_name': 'ME'}}
2022-02-09 15:53:50,513 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404030.5136516, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:53:50,513 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404030.5136516, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50625)>), {}).Вызов произведён из функции main()
2022-02-09 15:53:51,013 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404030.5136516, 'user': {'account_name': 'ME'}}
2022-02-09 15:53:51,013 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404030.5136516, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:53:51,013 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404030.5136516, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=452, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50626)>), {}).Вызов произведён из функции main()
2022-02-09 15:53:53,053 INFO       server.py              Клиент ('127.0.0.1', 50626) отключился от сервера.
2022-02-09 15:53:54,060 INFO       server.py              Клиент ('127.0.0.1', 50625) отключился от сервера.
2022-02-09 15:53:55,067 INFO       server.py              Клиент ('127.0.0.1', 50624) отключился от сервера.
2022-02-09 15:53:55,568 INFO       server.py              Клиент ('127.0.0.1', 50623) отключился от сервера.
2022-02-09 15:54:15,343 DEBUG      server.py              Сервер с адресом  и портом 7777 запущен.
2022-02-09 15:54:15,374 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50667)
2022-02-09 15:54:15,405 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50668)
2022-02-09 15:54:15,405 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404055.3745806, 'user': {'account_name': 'ME'}}
2022-02-09 15:54:15,405 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404055.3745806, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:54:15,405 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404055.3745806, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50667)>), {}).Вызов произведён из функции main()
2022-02-09 15:54:15,421 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50669)
2022-02-09 15:54:15,421 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404055.4058313, 'user': {'account_name': 'ME'}}
2022-02-09 15:54:15,421 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404055.4058313, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:54:15,421 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404055.4058313, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50668)>), {}).Вызов произведён из функции main()
2022-02-09 15:54:15,922 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404055.4214532, 'user': {'account_name': 'ME'}}
2022-02-09 15:54:15,922 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404055.4214532, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:54:15,922 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404055.4214532, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=452, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50669)>), {}).Вызов произведён из функции main()
2022-02-09 15:54:31,699 INFO       server.py              Клиент ('127.0.0.1', 50669) отключился от сервера.
2022-02-09 15:54:33,223 INFO       server.py              Клиент ('127.0.0.1', 50668) отключился от сервера.
2022-02-09 15:55:34,624 DEBUG      server.py              Сервер с адресом  и портом 7777 запущен.
2022-02-09 15:55:34,733 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50790)
2022-02-09 15:55:34,780 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50791)
2022-02-09 15:55:34,780 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404134.7333918, 'user': {'account_name': 'ME'}}
2022-02-09 15:55:34,780 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404134.7333918, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:55:34,780 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404134.7333918, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=460, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50790)>), {}).Вызов произведён из функции main()
2022-02-09 15:55:34,811 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50792)
